Fresho Green Peas - Peeled 250 gm  Rs. 44
Fresho Cucumber Color - Grade A 1 kg approx. 2 to 3 nos  Rs. 80
Fresho Sweet Corn - Pellets 250 gm  Rs. 82
Fresho Sprouts - Gram Green 200 gm  Rs. 149
Fresho Zucchini - Green 1 kg approx. 3 to 4 nos  Rs. 19
Fresho Zucchini - Green 250 gm approx. 1 to 2 nos  Rs. 45
Fresho Zucchini - Green 500 gm approx. 1 to 2 nos  Rs. 23
Fresho Banana - Stem (Grade A) 1 pc approx. 10 to 15 cm  Rs. 41
Fresho Banana - Stem (Grade A) 500 gm  Rs. 75
Fresho Banana - Stem (Grade A) 250 gm  Rs. 109
Fresho Ash Gourd 250 gm  Rs. 33
Fresho Ash Gourd 500 gm  Rs. 60
Fresho Lettuce - Iceberg 500 gm approx. 1 to 2 nos  Rs. 47
Fresho Lettuce - Iceberg 1 kg  Rs. 26
Fresho Amaranthus Leaves 250 gm  Rs. 7
Fresho Amaranthus Leaves 500 gm  Rs. 13
Fresho Dill Leaves 250 gm  Rs. 24
Fresho Dill Leaves 500 gm  Rs. 33
Fresho Sprouts - Channa Brown 200 gm  Rs. 60
Fresho Cabbage - Red 500 gm  Rs. 109
Fresho Cabbage - Red 1 kg approx. 1 to 2 nos  Rs. 9
Fresho Pumpkin - Disco 1 kg  Rs. 16
Fresho Zucchini - Yellow 1 kg approx. 3 to 4 nos  Rs. 29
Fresho Zucchini - Yellow 250 gm approx. 1 to 2 nos  Rs. 17
Fresho Zucchini - Yellow 500 gm approx. 1 to 2 nos  Rs. 5
Fresho Chow Chow Grade A 250 gm  Rs. 9
Fresho Chow Chow - Grade A 500 gm approx. 2 to 3 nos  Rs. 25
Fresho Chow Chow - Grade A 1 kg approx. 5 to 6 nos  Rs. 59
Fresho Leeks 100 gm  Rs. 32
Fresho Chilli Bajji Yellow Wax - Grade A 250 gm  Rs. 18
Fresho Chilli Bajji Yellow Wax - Grade A 500 gm  Rs. 29
Fresho Chilly Bajji Yellow Wax - Grade A 1kg 1 kg  Rs. 9
Fresho Parsley Curl 100 gm  Rs. 16
Fresho Parsley Curl 250 gm  Rs. 33
Fresho Peeled - Avarekalu 200 gm  Rs. 22
Fresho Mushrooms - Oyster 200 gm  Rs. 19
Fresho Chinese Cabbage 500 gm  Rs. 15
Fresho Chinese Cabbage 1 kg  Rs. 25
Fresho Fresh Peeled - Rajma Beans Red 200 gm Box  Rs. 116
Fresho Lettuce - Romaine 100 to 150 gm  Rs. 35
Fresho Peeled - Rajma Beans White 200 gm  Rs. 64
Fresho Lettuce - Red 70 to 100 gm (Bunch) Pouch  Rs. 10
Fresho Karamani - White 200 gm  Rs. 6
Fresho Beans - Avare 250 gm  Rs. 3
Fresho Beans - Avare 500 gm  Rs. 9
Fresho Beans-Avare 1 kg  Rs. 21
Fresho Karamani - Brown 200 gm  Rs. 9
Fresho Arracknut (Supari) 25 gm approx. 50-60 pcs  Rs. 17
Fresho Arracknut (Supari) 50 gm approx. 100-120 pcs  Rs. 77
Fresho Sweet Potato 1 kg approx. 8 to 9 nos  Rs. 140
Fresho Sweet Potato 500 gm approx. 4 to 5 nos  Rs. 24
Fresho Sweet Potato 250 gm  Rs. 44
Fresho Lettuce - Green 70 to 100 gm (Bunch)  Rs. 11
Fresho Lemon Grass 100 gm  Rs. 27
Fresho Radish - Red 1 kg  Rs. 49
Fresho Radish – Red 250 gm  Rs. 23
Fresho Radish - Red 500 gm  Rs. 33
Fresho Baby Corn - Unpeeled 500 gm approx. 8 to 10 nos  Rs. 60
Fresho Baby Corn - Unpeeled 1 kg approx. 20  to 25 nos  Rs. 10
Fresho Turnip 500 gm approx. 3 to 4 nos  Rs. 30
Fresho Turnip 1 kg approx. 7 to 8 nos  Rs. 116
Fresho Sambar Onion - Peeled 200 gm  Rs. 35
Fresho Asparagus - Green 100 gm  Rs. 64
Fresho Beetle Leaf with Arracknut (Pan Supari) 10 pcs, 10 gm  Rs. 9
